,User,listed_count,followers_count,text,retweets,favorites
139,lynagn,32,480,"RT @mattmfm: Keeps falling: with a net -15 approval rating (40% approve; 55% disapprove), Trump now at his lowest Gallup approval since tak…",187,0
140,toolegs,85,895,"RT @hullfair: This.     
The case for putting Brexit on hold | Joseph O’Neill https://t.co/XEVtsy0W7Y",1,0
141,3_Blind_Moose,19,180,@joshbaumgard 😳 https://t.co/zHL2eedrNC,0,0
142,JohenSoto,2,447,"RT @ChumelTorres: Mi país no le teme a Trump.

Mi Presidente sí.",947,0
143,ExpositoOrteg,77,13866,RT @Carpe6763Real: Trump se va a gastar 21600 Millones en el muro para humillar a los Mexicanos y deshonrar a los EEUU #FelizLunes https://…,17,0
144,mamakop,24,113,"RT @matthewjdowd: Update after 3 weeks of Presidency(net job approval Gallup):
Trump -15
Obama +43
BushW +32
Clinton +17
Bush +49
Reagan +3…",324,0
145,GayleMcGowan9,0,35,RT @ForecasterEnten: Another day... Another low for Trump's approval rating in Gallup: 40%. His disapproval also hits high of 55%. https://…,756,0
146,fashion_chase,21,530,"@2smartmonkeys @FemalesForTrump @guardian 

Go away with your non sense . Glad u had to back peddle your BS claim 

https://t.co/KUQJCxRyuN",0,0
147,miltown707,3,53,"California is, like, totally out of control — just the way we like it https://t.co/4ulzPwXmbf",0,0
148,645ciDIVA,345,3823,RT @Slate: Trump sticks press in basement with blacked out windows while he golfs: https://t.co/PvaEYD2GH3 https://t.co/sm1jvAp3Gv,38,0
149,ramhirage1987,1,4,"RT @nytimes: President Trump overrules Rex Tillerson, rejecting Elliott Abrams for deputy secretary of state https://t.co/C4sZZ0hwOu",304,0
150,JhammersleyJha,0,26,Washington and Tehran dial up war of words as risk of another military action in the Middl @AJEnglish… https://t.co/ekqrwmcUOk,0,0
151,Dimanc59,29,152,"RT @ProgressOutlook: It still boggles my mind that Rick Perry, who called Trump a ""cancer on conservatism,"" will be in Trump's cabinet.",9,0
152,holaimemily,3,130,"RT @BernieSanders: Trump is a total hypocrite. He campaigned saying I'm going to take on Wall Street, and then he hires the president of Go…",4895,0
153,Trkymbenim,10,254,"RT @abdullahciftcib: 40-Trump ve İsrail;
Filistin, Kuzey/Güney Kıbrıs, Türkiye, S.Arabistan, Katar ve Kuveyt ile ortak bir enerji hattı pro…",67,0
154,charlyn_walter,3,25,RT @GOP: It's common sense to keep America safe. Sign &amp; RT to stand with @POTUS! https://t.co/Rk3FsQc9Ic https://t.co/PjsRtop34u,879,0
155,Momo2Panama,14,204,Qui sont les conseillers au cœur du système Trump ? https://t.co/BIDmNt0OKh via @lemondefr,0,0
156,soccerholtredd,1,11,"RT @NancyPelosi: In today’s Weekly Democratic Address, @repjoecrowley responds to President Trump’s unconstitutional #MuslimBan. https://t.…",398,0
157,realmojesse5372,396,4284,"RT @TheMarkRomano: Democrat hack Chris Wallace on @FoxNewsSunday:

President Trump is not allowed to criticize judges.

This man is a fool.…",255,0
158,JKeller5,13,683,"RT @thetigersez: Trump's administration is like a never ending magician's scarf of terrible people, just when you think it's done, poof, th…",2,0
159,bmangh,325,65117,"RT @badgirl_loony: INVESTIGATE #FlynnRussia  SCANDAL
 
AND  #TRUMP's ties to #PUTIN 

DEMAND AN INDEPENDENT BIPARTISAN COMMISSION !

#TheRe…",193,0
160,rjimenez3940,54,300,"RT @Ntbornlstnight: Can we target domestic terrorists? Obama Now Back, NY Post Confirms He Will Lead Anti-Trump Organization Of 30,000 http…",4,0
161,BintQays,9,633,"RT @ataabualrashtah: Bismillah Al-Rahman Al-Raheem
Q&amp;A: Some of the Outlines of #Trump’s International Policy
https://t.co/ooys3eRA1S
#أمير…",20,0
162,MissCrazyTruth,8,450,RT @CNNEE: Diario se disculpa por usar foto de Alec Baldwin como si fuera de Trump https://t.co/909F0UI6Kj https://t.co/UmowN8HpwH,23,0
163,kinshasaweb,1281,5706,RT @nytimesworld: Vladimir Putin at Mar-a-Lago? Eric Trump says it might lead to improved global relations https://t.co/E0UQ6Ht9VN https://…,14,0
164,Bluesaloon,118,2478,Conservative pundit: Trump only uses ‘cringe-worthy’ surrogates because no one else will lie for him https://t.co/WBzcMwu4oO,0,0
165,DimeStoreNinja,46,1304,"Trump's administration is going to make Reagan's look like ""The Untouchables"" when it comes to ethics violations. https://t.co/33No1v2B0T",0,0
166,SteveWCarlson,48,1062,This explains what @BarackObama @HillaryClinton and other anti-Americans were supporting. https://t.co/tlfkIGY1xc Wall is needed for treaty,0,0
167,mikekoppinger,10,719,RT @EoinHiggins_: Poor shaming to explain away Trump's victory— a victory made possible by affluent whites in the suburbs— is fucking gross…,217,0
168,salenamf,8,100,"RT @BeauWillimon: Stephen Miller, top Trump adviser:
""our opponents, the media"" &amp; Trump's power ""will not be questioned""
If this ain't auth…",35,0
169,Giosca3Giovanna,152,238,RT @limesonline: Rischi e opportunità per l’Italia di un dialogo Putin-Trump https://t.co/XxVGmxLf5z https://t.co/eV1NPT26Kl,3,0
170,aroseblush,84,5644,RT @aroseblush: 👮 3 Reasons to Believe America Could Become a Police State Under Trump 👮 #TheResistance  @alternet https://t.co/SVweArzn12,7,0
171,byrnebrendan1,0,14,RT @thehill: Top GOP senator: Trump's physical border wall not the right method https://t.co/poB1NRbNyG https://t.co/KT6iXx8VD3,26,0
172,laurenbenet,33,1057,"RT @Let_AmericaVote: The Trump Administration isn't lying for the sake of lying, they're running a misinformation campaign to suppress vote…",101,0
173,buzzard1984,18,334,"RT @NycBMW: @jim72182 jimmy , grow a pair of balls , Hillary is a fucking loser . She lost. you're lucky Trump won, u have a winning leader…",12,0
174,mohanrakesh1909,33,348,"RT @HayesBrown: So North Korea launches a missile:
- Trump delivers truncated remarks
- No word from Tillerson
- Or Mattis
- Or Pompeo
- Or…",37,0
175,onehandedcarper,21,1100,RT @RitaPanahi: When you condemn Trump for being sexist but obediently cover up when in a genuinely sexist country. Brave. #StockholmSyndro…,175,0
176,psychofoundme,21,601,"RT @JuddLegum: Trump has already tweeted 6 times today

Just your occasional reminder that Trump promised not to tweet as President https:/…",1360,0
177,Cyber_Pixy,9,95,"RT @NPR: As NPR reported before, there's no evidence to support the Trump administration’s allegations of massive voter fraud https://t.co/…",324,0
